;sum_click;code_module;code_presentation;gender;region;highest_education;age_band;studied_credits
0;548;1;4;2;2;4;3;60
2;290;3;4;1;1;3;1;120
3;297;2;2;2;6;3;1;60
4;81;7;3;1;12;2;1;30
6;209;7;2;2;11;3;1;30
7;218;1;4;1;8;2;1;60
8;420;2;1;1;1;2;1;120
9;443;5;3;2;3;4;1;60
12;240;7;2;2;3;2;2;30
13;573;1;4;1;1;3;2;60
14;1887;6;3;1;13;4;2;90
17;670;3;4;2;12;4;1;120
20;351;6;3;2;13;4;1;60
22;140;5;3;2;6;3;1;150
25;627;1;4;2;12;2;2;60
26;378;1;2;1;2;4;2;60
28;230;3;4;2;4;2;2;60
30;695;6;3;2;10;3;1;120
33;1623;6;2;2;5;2;1;60
35;476;4;2;2;11;3;1;60
36;263;3;4;2;6;3;1;30
37;2314;3;4;2;7;2;1;30
38;2314;5;3;2;7;2;1;30
39;580;3;3;2;1;3;1;90
40;931;3;3;2;1;4;1;60
41;931;5;3;2;1;4;1;60
42;238;7;3;1;8;2;1;30
43;291;2;2;1;10;3;1;60
44;197;3;4;2;1;4;1;60
46;509;3;4;1;2;4;2;120
48;753;7;3;2;10;2;2;30
51;105;1;4;1;10;3;1;60
52;587;1;2;1;4;3;2;60
53;1282;2;1;2;7;3;2;60
54;318;2;2;1;10;2;2;120
56;217;7;2;1;13;3;1;30
57;314;1;2;1;5;2;1;60
58;116;2;4;1;8;3;2;60
61;859;6;1;1;4;3;1;60
62;203;4;2;1;10;3;1;90
71;83;2;1;1;13;3;1;60
73;385;5;3;2;8;3;1;60
75;717;5;2;2;6;2;2;30
77;858;3;4;2;10;3;1;30
78;858;5;3;2;10;3;1;30
79;484;6;1;2;6;3;2;60
83;427;6;1;2;10;3;1;60
84;414;6;3;2;3;2;1;120
86;498;6;1;2;9;4;1;120
87;213;3;4;1;13;4;2;50
88;635;1;2;2;6;3;2;60
91;643;2;4;1;6;3;2;120
95;161;2;1;1;2;2;1;120
98;767;4;2;2;6;4;3;60
102;288;4;2;1;4;3;1;60
103;189;3;3;2;9;3;2;30
105;535;6;4;2;3;2;1;120
107;261;7;3;1;5;2;1;30
109;228;2;4;1;12;3;1;60
110;970;6;4;1;1;3;1;90
111;1016;6;2;1;2;2;2;60
